year,guangzhou_temp,global_temp
1840,20.98,7.80
1841,21.02,7.69
1842,21.16,8.02
1843,21.25,8.17
1844,20.86,7.65
1845,20.84,7.85
1846,21.46,8.55
1847,21.07,8.09
1848,20.75,7.98
1849,21.03,7.98
1850,21.21,7.90
1851,21.33,8.18
1852,21.28,8.10
1853,21.78,8.04
1854,21.64,8.21
1855,21.09,8.11
1856,20.60,8.00
1857,21.12,7.76
1858,21.05,8.10
1859,21.28,8.25
1860,21.28,7.96
1861,21.02,7.85
1862,20.40,7.56
1863,20.88,8.11
1864,20.74,7.98
1865,21.65,8.18
1866,21.27,8.29
1867,21.57,8.44
1868,21.79,8.25
1869,21.53,8.43
1870,21.73,8.20
1871,21.52,8.12
1872,21.68,8.19
1873,21.28,8.35
1874,21.56,8.43
1875,21.47,7.86
1876,20.97,8.08
1877,21.49,8.54
1878,21.58,8.83
1879,21.66,8.17
1880,20.87,8.12
1881,21.25,8.27
1882,21.11,8.13
1883,20.77,7.98
1884,20.41,7.77
1885,20.67,7.92
1886,20.71,7.95
1887,21.05,7.91
1888,21.54,8.09
1889,21.39,8.32
1890,21.53,7.97
1891,21.46,8.02
1892,20.92,8.07
1893,20.70,8.06
1894,21.28,8.16
1895,21.20,8.15
1896,21.34,8.21
1897,21.36,8.29
1898,21.52,8.18
1899,21.25,8.40
1900,21.22,8.50
1901,21.34,8.54
1902,22.07,8.30
1903,21.13,8.22
1904,21.27,8.09
1905,21.09,8.23
1906,21.41,8.38
1907,21.41,7.95
1908,21.28,8.19
1909,21.62,8.18
1910,21.30,8.22
1911,21.41,8.18
1912,21.32,8.17
1913,21.20,8.30
1914,22.09,8.59
1915,21.93,8.59
1916,21.23,8.23
1917,20.87,8.02
1918,21.18,8.13
1919,21.69,8.38
1920,21.48,8.36
1921,21.60,8.57
1922,21.73,8.41
1923,21.98,8.42
1924,21.74,8.51
1925,21.26,8.53
1926,21.46,8.73
1927,21.47,8.52
1928,21.93,8.63
1929,21.83,8.24
1930,21.54,8.63
1931,21.54,8.72
1932,21.42,8.71
1933,21.65,8.34
1934,21.17,8.63
1935,21.75,8.52
1936,21.22,8.55
1937,22.02,8.70
1938,22.08,8.86
1939,21.77,8.76
1940,22.12,8.76
1941,22.14,8.77
1942,22.24,8.73
1943,22.20,8.76
1944,21.84,8.85
1945,21.74,8.58
1946,22.81,8.68
1947,21.68,8.80
1948,22.20,8.75
1949,22.27,8.59
1950,22.13,8.37
1951,21.72,8.63
1952,22.26,8.64
1953,22.09,8.87
1954,21.86,8.56
1955,21.86,8.63
1956,21.70,8.28
1957,21.60,8.73
1958,21.97,8.77
1959,22.04,8.73
1960,22.09,8.58
1961,21.98,8.80
1962,21.72,8.75
1963,22.17,8.86
1964,21.93,8.41
1965,22.04,8.53
1966,22.46,8.60
1967,21.53,8.70
1968,21.92,8.52
1969,21.43,8.60
1970,21.52,8.70
1971,21.66,8.60
1972,21.80,8.50
1973,22.23,8.95
1974,21.72,8.47
1975,21.84,8.74
1976,21.33,8.35
1977,22.18,8.85
1978,21.92,8.69
1979,21.98,8.73
1980,22.14,8.98
1981,22.06,9.17
1982,21.92,8.64
1983,21.70,9.03
1984,21.18,8.69
1985,21.56,8.66
1986,22.02,8.83
1987,22.57,8.99
1988,21.62,9.20
1989,22.10,8.92
1990,22.42,9.23
1991,22.21,9.18
1992,21.49,8.84
1993,21.57,8.87
1994,22.02,9.04
1995,21.47,9.35
1996,21.54,9.04
1997,21.86,9.20
1998,22.64,9.52
1999,22.33,9.29
2000,22.09,9.20
2001,22.12,9.41
2002,22.40,9.57
2003,22.47,9.53
2004,22.18,9.32
2005,22.06,9.70
2006,22.49,9.53
2007,22.54,9.73
2008,21.78,9.43
2009,22.42,9.51
2010,22.00,9.70
2011,21.68,9.52
2012,21.95,9.51
2013,22.93,9.61
